Ticker,Sector,LatestQuarter,Beta,TrailingPE,ForwardPE,ReturnOnEquityTTM,PriceToBookRatio,PEGRatio,ProfitMargin,EPS,DividendYield,EVToEBITDA
TRV,FINANCE,2023-09-30,0.594,18.35,12.55,0.11,2.186,1.53,0.0545,9.26,0.0235,-
BIIB,LIFE SCIENCES,2023-09-30,0.096,22.32,18.45,0.107,3.258,36.19,0.146,10.07,0.0371,10.36
ROST,TRADE & SERVICES,2023-07-31,1.003,26.18,23.04,0.374,9.75,2.596,0.0836,4.71,0.0109,18.0
TFC,FINANCE,2023-09-30,1.092,7.38,7.89,0.0932,1.035,0.877,0.259,3.98,0.0708,-
STZ,MANUFACTURING,2023-08-31,1.048,28.09,18.76,0.159,4.706,2.355,0.155,8.52,0.0149,41.97
CEG,ENERGY & TRANSPORTATION,2023-09-30,None,23.37,20.92,0.142,2.75,0.861,0.064,5.21,0.0093,16.1
NUE,MANUFACTURING,2023-09-30,1.656,7.72,10.1,0.266,2.143,0.75,0.14,19.76,0.0134,3.187
GIS,MANUFACTURING,2023-08-31,0.254,15.92,20.92,0.231,4.818,3.106,0.121,4.1,0.0362,15.6
IQV,TRADE & SERVICES,2023-09-30,1.418,32.18,18.59,0.2,7.24,1.475,0.0751,6.09,0,17.39
DLR,REAL ESTATE & CONSTRUCTION,2023-09-30,0.545,44.7,62.11,0.0477,1.842,1.95,0.174,2.88,0.0379,14.33
COF,FINANCE,2023-09-30,1.472,7.82,5.55,0.104,0.725,0.616,0.205,13.37,0.023,-
EA,TECHNOLOGY,2023-09-30,0.797,36.68,15.65,0.129,4.413,0.865,0.131,3.62,0.0057,18.2
MNST,MANUFACTURING,2023-09-30,0.83,37.35,32.79,0.213,7.66,3.395,0.226,1.48,0.0025,29.84
JCI,TRADE & SERVICES,2023-06-30,1.283,17.2,18.87,0.131,2.809,1.235,0.0775,2.98,0.0289,19.03
BKR,TECHNOLOGY,2023-09-30,1.446,20.56,16.29,0.115,1.919,1.317,0.0686,1.67,0.0233,17.93
CTVA,LIFE SCIENCES,2023-09-30,0.798,27.74,20.41,0.0447,1.812,1.315,0.0538,1.57,0.0147,14.41
TTD,TECHNOLOGY,2023-09-30,1.68,206.48,43.86,0.0751,13.03,1.83,0.0835,0.31,0,629.04
IDXX,LIFE SCIENCES,2023-09-30,1.207,43.66,50.25,0.928,74.82,7.21,0.229,9.82,0.0073,37.65
VRSK,TECHNOLOGY,2023-09-30,0.853,44.64,32.68,0.668,14.39,3.04,0.19,5.33,0.0057,18.2
DOW,LIFE SCIENCES,2023-09-30,1.328,26.89,12.44,0.0724,1.995,0,0.0285,1.84,0.0566,4.525
D,ENERGY & TRANSPORTATION,2023-09-30,0.53,14.94,13.83,0.0823,1.843,2.311,0.0959,3.01,0.0594,13.91
SPG,REAL ESTATE & CONSTRUCTION,2023-09-30,1.605,17.11,17.92,0.662,13.13,2.059,0.399,6.74,0.0659,14.31
FERG,TRADE & SERVICES,2023-07-31,1.116,17.54,13.35,0.389,5.22,4.294,0.0635,9.12,0.0307,9.66
DD,LIFE SCIENCES,2023-09-30,1.19,34.89,19.08,0.0374,1.389,1.638,0.381,1.97,0.0209,11.13
PRU,FINANCE,2023-09-30,1.394,26.0,8.64,0.0612,2.276,87.81,0.0258,3.54,0.0543,-
AME,LIFE SCIENCES,2023-09-30,1.197,27.32,24.04,0.165,4.564,1.76,0.197,5.52,0.0066,19.45
FAST,TRADE & SERVICES,2023-09-30,1.114,30.31,25.97,0.342,9.23,2.453,0.156,1.98,0.0233,18.63
AMP,FINANCE,2023-09-30,1.448,16.21,11.42,0.632,10.52,1.359,0.143,20.75,0.0161,-
O,REAL ESTATE & CONSTRUCTION,2023-09-30,0.873,37.92,44.05,0.0302,1.517,4.321,0.226,1.32,0.0614,21.34
KMI,ENERGY & TRANSPORTATION,2023-09-30,0.942,15.08,14.6,0.0804,1.275,18.47,0.155,1.09,0.0687,11.58
KVUE,LIFE SCIENCES,2023-06-30,None,33.98,-,0,-,None,0.111,0.57,0,-
CTSH,TECHNOLOGY,2023-09-30,1.081,16.09,12.39,0.168,2.503,1.208,0.107,4.1,0.0176,7.92
LHX,MANUFACTURING,2023-09-30,0.677,23.42,16.26,0.0802,2.238,1.166,0.0796,7.78,0.025,19.0
OTIS,MANUFACTURING,2023-09-30,0.879,24.78,22.99,0,13.2,3.309,0.0984,3.31,0.0166,17.58
ROK,LIFE SCIENCES,2023-09-30,1.458,21.64,25.13,0.378,11.34,2.669,0.153,11.94,0.0193,24.1
YUM,TRADE & SERVICES,2023-09-30,1.038,23.94,25.97,0,-,2.661,0.213,5.26,0.0192,20.83
GWW,TRADE & SERVICES,2023-09-30,1.132,22.07,18.28,0.635,12.61,1.442,0.112,35.89,0.0094,13.56
PLTR,TECHNOLOGY,2023-09-30,2.7,281,41.49,0.0544,6.41,1.379,0.0693,0.07,0,-26.13
MRNA,LIFE SCIENCES,2023-09-30,1.696,-,32.47,-0.22,4.462,0,-0.38,-9.23,0,5.34
A,LIFE SCIENCES,2023-07-31,1.041,28.4,26.95,0.213,8.63,2.36,0.162,3.82,0.0083,24.87
CSGP,TRADE & SERVICES,2023-09-30,0.868,80.45,57.47,0.0579,4.893,3.17,0.169,0.99,0.0188,47.7
PCG,ENERGY & TRANSPORTATION,2023-09-30,1.15,19.51,13.44,0.0783,1.466,4.649,0.0807,0.86,0.0391,12.95
XEL,ENERGY & TRANSPORTATION,2023-09-30,0.443,18.73,21.1,0.103,2.38,3.209,0.117,3.16,0.0351,13.13
DHI,REAL ESTATE & CONSTRUCTION,2023-09-30,1.542,8.88,9.67,0.223,1.552,1.855,0.134,13.82,0.0098,4.403
CMI,TECHNOLOGY,2023-09-30,1.069,11.16,12.29,0.27,4.07,1.566,0.084,19.62,0.0307,11.68
SYY,TRADE & SERVICES,2023-09-30,1.121,18.97,19.72,1.093,37.32,1.354,0.0235,3.55,0.0297,15.8
BK,FINANCE,2023-09-30,1.078,10.69,9.27,0.0895,1.041,1.041,0.212,4.27,0.0368,-
ALL,FINANCE,2023-09-30,0.525,-,12.47,-0.126,1.949,3.397,-0.0353,-7.99,0.0273,-
EL,LIFE SCIENCES,2023-09-30,1.074,75,45.25,0.089,15.55,4.523,0.0354,1.53,0.023,24.65
NEM,ENERGY & TRANSPORTATION,2023-09-30,0.428,-,17.51,-0.0395,1.736,0.787,-0.0735,-1.06,0.0468,11.8
VEEV,TECHNOLOGY,2023-07-31,0.871,49.72,37.45,0.146,7.84,1.275,0.242,3.32,0,47.84
DVN,ENERGY & TRANSPORTATION,2023-09-30,2.325,7.77,6.53,0.336,3.723,0.48,0.254,5.87,0.0629,4.411
OKE,ENERGY & TRANSPORTATION,2023-09-30,1.655,11.83,14.75,0.217,4.715,1.514,0.141,5.44,0.0594,12.67
COR,TRADE & SERVICES,2023-06-30,0.542,23.39,-,2.337,-,1.577,0.0066,8.2,0.0104,-
ED,ENERGY & TRANSPORTATION,2023-09-30,0.381,13.2,20.28,0.112,1.684,3.724,0.156,6.77,0.0363,12.2
FIS,TRADE & SERVICES,2023-09-30,0.851,-,10.81,-0.516,0.948,0.733,-1.657,-27.76,0.0397,10.98
RSG,ENERGY & TRANSPORTATION,2023-09-30,0.676,30.58,27.25,0.165,4.522,3.254,0.112,5.16,0.0136,15.71
PEG,ENERGY & TRANSPORTATION,2023-09-30,0.62,10.98,17.42,0.197,2.304,3.765,0.238,5.61,0.037,20.76
PPG,LIFE SCIENCES,2023-09-30,1.218,21.61,17.89,0.206,5.08,1.867,0.0784,5.96,0.0202,18.05
FANG,ENERGY & TRANSPORTATION,2023-09-30,1.974,8.95,5.37,0.213,1.798,1.201,0.412,17.63,0.0436,4.19
SGEN,LIFE SCIENCES,2023-09-30,0.349,-,909.09,-0.279,8.16,18.53,-0.326,-4,0.0319,-38.86
ACGL,FINANCE,2023-09-30,0.681,11.09,11.34,0.22,2.025,2.24,0.233,7.75,0.0114,-
URI,TRADE & SERVICES,2023-09-30,1.823,13.28,10.41,0.338,4.016,0.862,0.172,34.38,0.013,7.01
GPN,TRADE & SERVICES,2023-09-30,0.977,33.29,9.42,0.0398,1.167,0.568,0.0923,3.28,0.0092,16.9
DXCM,LIFE SCIENCES,2023-09-30,1.13,103.35,120.48,0.184,24.66,11.34,0.111,0.91,0.0041,103.12
VICI,REAL ESTATE & CONSTRUCTION,2023-09-30,0.988,11.81,14.01,0.103,1.517,None,0.675,2.41,0.0583,37.35
KR,TRADE & SERVICES,2023-08-31,0.499,19.59,10.91,0.162,3.35,1.721,0.011,2.24,0.0264,7.09
WST,MANUFACTURING,2023-09-30,1.077,46.11,28.82,0.21,7.16,4.06,0.191,7.41,0.0023,19.94
HSY,MANUFACTURING,2023-09-30,0.351,20.61,26.67,0.541,15.7,4.018,0.171,9.29,0.0249,22.27
CDW,TRADE & SERVICES,2023-09-30,1.11,26.46,18.15,0.699,19.61,1.53,0.0503,8,0.0117,17.2
VMC,ENERGY & TRANSPORTATION,2023-09-30,0.784,33.92,26.04,0.117,3.579,1.46,0.107,6.24,0.0081,18.91
IT,TRADE & SERVICES,2023-09-30,1.238,35.33,32.15,0.371,180.63,1.99,0.16,11.65,0,24.33
LEN,REAL ESTATE & CONSTRUCTION,2023-08-31,1.483,9.07,7.08,0.161,1.151,9.08,0.117,13.48,0.0123,4.376
TEAM,TECHNOLOGY,2023-09-30,0.64,-,109.89,-0.804,79.67,4.358,-0.136,-1.97,0,-865.05
KDP,MANUFACTURING,2023-09-30,0.672,22.61,21.14,0.0769,2.158,3.194,0.132,1.37,0.0278,16.45
MLM,ENERGY & TRANSPORTATION,2023-09-30,0.909,25.64,23.87,0.149,3.274,1.892,0.172,17.7,0.0065,16.41
FTV,LIFE SCIENCES,2023-09-30,1.192,28.25,19.12,0.085,2.519,1.743,0.138,2.33,0.0049,19.83
GEHC,LIFE SCIENCES,2023-09-30,None,20.63,-,0.145,-,None,0.0891,3.37,0.0017,-
WEC,ENERGY & TRANSPORTATION,2023-09-30,0.437,18.59,21.1,0.115,2.715,3.007,0.148,4.32,0.0388,14.48
IR,TECHNOLOGY,2023-09-30,1.468,37.14,21.98,0.0822,2.533,1.487,0.115,1.84,0.0012,20.44
APTV,MANUFACTURING,2023-09-30,2.065,9.46,19.27,0.238,3.084,0.836,0.115,8.03,0.0189,16.27
ANSS,TECHNOLOGY,2023-09-30,1.194,52.62,30.58,0.101,4.91,3.864,0.224,5.54,0.129,33.0
KHC,MANUFACTURING,2023-09-30,0.691,13.59,14.6,0.0609,1.022,2.886,0.11,2.42,0.0486,18.85
AVB,REAL ESTATE & CONSTRUCTION,2023-09-30,0.961,25.56,31.85,0.0807,2.147,1.459,0.342,6.58,0.0392,14.08
PWR,REAL ESTATE & CONSTRUCTION,2023-09-30,1.115,37.19,21.41,0.127,4.183,1.389,0.0357,4.68,0.0018,18.74
EIX,ENERGY & TRANSPORTATION,2023-09-30,0.874,19.85,13.76,0.0708,1.873,3.231,0.0741,3.21,0.0463,14.16
EXR,REAL ESTATE & CONSTRUCTION,2023-09-30,0.64,22.47,24.69,0.0858,6.43,4.209,0.341,5.3,0.0205,19.1
DG,TRADE & SERVICES,2023-07-31,0.368,12.07,19.61,0.347,8.92,1.773,0.0559,9.77,0.02,18.11
LYB,LIFE SCIENCES,2023-09-30,1.203,13.42,8.29,0.178,2.235,1.51,0.0551,6.99,0.052,5.58
DDOG,TECHNOLOGY,2023-09-30,1.015,-,69.44,-0.0223,19.82,1.227,-0.0172,-0.11,0,522.64
CAH,TRADE & SERVICES,2023-09-30,0.773,170.69,14.68,0,16.07,0.646,0.0007,0.61,0.0192,-111.07
TTWO,TECHNOLOGY,2023-09-30,0.683,-,15.67,-0.169,1.865,0.333,-0.278,-9.07,0.0323,28.92
SQ,TECHNOLOGY,2023-09-30,2.341,-,43.86,-0.0173,2.583,1.931,-0.0136,-0.46,0,-205.63
MDB,TECHNOLOGY,2023-07-31,1.157,-,312.5,-0.31,20.57,None,-0.162,-3.47,0,-42.56
AWK,ENERGY & TRANSPORTATION,2023-09-30,0.626,25.52,33.0,0.104,3.711,4.407,0.223,4.84,0.0229,14.57
HPQ,TECHNOLOGY,2023-07-31,1.053,11.85,8.46,0,-,8.51,0.0427,2.33,0.0399,6.63
KEYS,LIFE SCIENCES,2023-07-31,1.034,19.75,21.51,0.256,7.85,2.353,0.202,6.29,0,20.57
WBD,TECHNOLOGY,2023-09-30,1.612,-,149.25,-0.0991,0.55,1.389,-0.115,-1.94,0,6.45
DASH,TRADE & SERVICES,2023-09-30,1.606,-,1666.67,-0.157,3.328,None,-0.128,-2.73,0,-33.23
SPLK,TECHNOLOGY,2023-07-31,1.087,-,42.92,-4.95,69.12,1.433,-0.0061,-0.09,0,-36.18
DLTR,TRADE & SERVICES,2023-07-31,0.794,20.74,19.01,0.14,3.916,1.064,0.0416,5.5,0.0421,14.31
MTD,LIFE SCIENCES,2023-09-30,1.168,26.67,34.48,0.295,3980.99,2.806,0.222,39.15,0.0142,28.71
EQR,REAL ESTATE & CONSTRUCTION,2023-09-30,0.879,31.53,36.76,0.0614,2.195,1.282,0.24,1.73,0.0486,13.34
EBAY,TRADE & SERVICES,2023-09-30,1.333,8.0,10.42,0.506,4.892,2.221,0.27,4.98,0.0251,-9.7
DFS,FINANCE,2023-09-30,1.436,6.19,7.25,0.252,2.136,0.386,0.344,13.5,0.0323,-
WTW,FINANCE,2023-09-30,0.75,25.45,16.39,0.108,2.69,0.746,0.11,9.44,0.014,14.99
TROW,FINANCE,2023-09-30,1.336,13.38,17.18,0.166,3.006,27.34,0.255,7.02,0.052,7.72
WY,REAL ESTATE & CONSTRUCTION,2023-09-30,1.505,34.66,24.75,0.0599,2.218,5.4,0.0817,0.87,0.0252,7.49
STE,LIFE SCIENCES,2023-09-30,0.864,36.11,23.26,0.0917,3.333,6.88,0.105,5.52,0.0104,28.76
CBRE,REAL ESTATE & CONSTRUCTION,2023-09-30,1.389,38.68,14.97,0.0723,3.019,2.447,0.0189,1.9,0.0118,8.47
ZBH,LIFE SCIENCES,2023-09-30,1.019,46.65,18.28,0.0384,2.198,1.078,0.0652,2.26,0.0091,20.87
TSCO,TRADE & SERVICES,2023-09-30,0.855,19.39,20.53,0.558,12.25,2.063,0.0758,10.24,0.0208,16.33
DAL,ENERGY & TRANSPORTATION,2023-09-30,1.367,6.43,93.46,0.492,4.722,23.16,0.0594,5.3,0.0117,30.34
FICO,TRADE & SERVICES,2023-09-30,1.174,58.84,30.49,0.356,82.33,2.71,0.284,16.94,0.0006,30.19
EFX,TRADE & SERVICES,2023-09-30,1.409,43.82,24.45,0.127,6.43,1.909,0.102,4.22,0.0084,18.05
CTRA,ENERGY & TRANSPORTATION,2023-09-30,0.322,9.27,6.29,0.176,1.538,44.67,0.35,2.89,0.0299,3.138
SBAC,REAL ESTATE & CONSTRUCTION,2023-09-30,0.553,48.24,53.76,0,-,2.267,0.182,4.54,0.0155,29.9
HIG,FINANCE,2023-09-30,0.82,10.17,8.9,0.174,1.896,1.41,0.096,7.27,0.0254,-
MPWR,MANUFACTURING,2023-09-30,1.166,54.67,25.13,0.259,12.55,0.99,0.246,9.23,0.0079,39.44
CHD,LIFE SCIENCES,2023-09-30,0.495,50.98,25.91,0.113,5.44,3.993,0.0757,1.76,0.0121,18.45
XYL,TECHNOLOGY,2023-09-30,1.06,40.19,36.36,0.0748,6.43,2.644,0.0729,2.45,0.0134,33.11
SPOT,TECHNOLOGY,2023-09-30,1.653,-,243.9,-0.335,6.51,None,-0.0575,-4.05,0,112.25
HPE,TECHNOLOGY,2023-07-31,1.265,19.23,7.67,0.0522,1.017,0.844,0.0364,0.83,0.0301,8.33
GLW,MANUFACTURING,2023-09-30,1.075,40.71,14.35,0.0557,2.528,1.241,0.045,0.68,0.0405,8.34
ALNY,LIFE SCIENCES,2023-09-30,0.47,-,-,-15.01,142.92,-0.49,-0.296,-4.11,0.0252,-29.42
BR,TRADE & SERVICES,2023-09-30,0.971,31.46,19.92,0.334,8.71,1.858,0.108,5.63,0.0181,19.46
HUBS,TECHNOLOGY,2023-09-30,1.61,-,98.04,-0.17,15.61,2.878,-0.0867,-3.6,0,-313.03
GPC,TRADE & SERVICES,2023-09-30,0.952,15.37,20.83,0.318,6.9,1.918,0.0544,8.86,0.0279,14.45
STT,FINANCE,2023-09-30,1.544,9.83,9.74,0.1,1.238,4.059,0.205,6.88,0.0408,-
AEE,ENERGY & TRANSPORTATION,2023-09-30,0.487,17.29,20.53,0.108,2.246,2.548,0.152,4.41,0.033,12.45
ILMN,LIFE SCIENCES,2023-09-30,1.159,-,72.99,-0.178,4.907,4.178,-0.252,-7.1,0.0217,-9.22
RMD,LIFE SCIENCES,2023-09-30,0.521,23.35,35.34,0.236,9.42,1.741,0.207,6.15,0.0134,27.46
ALGN,LIFE SCIENCES,2023-09-30,1.579,40.62,25.06,0.0968,4.14,10.8,0.0953,4.73,0.0259,16.42
DTE,ENERGY & TRANSPORTATION,2023-09-30,0.646,16.29,18.73,0.125,2.528,2.951,0.0899,6.05,0.0387,13.27
RCL,ENERGY & TRANSPORTATION,2023-09-30,2.46,28.94,11.99,0.237,4.401,1.31,0.0698,3.28,0.0525,-87.51
MOH,FINANCE,2023-09-30,0.57,22.32,17.83,0.269,6.71,-0.62,0.0286,16.04,0.073,10.67
ICLR,TRADE & SERVICES,2023-09-30,1.108,41.15,15.62,0.0597,1.93,0.327,0.064,6.23,0,16.66
INVH,REAL ESTATE & CONSTRUCTION,2023-09-30,0.933,39.11,43.29,0.0477,1.872,3.241,0.207,0.81,0.0328,20.75
MTB,FINANCE,2023-09-30,0.833,6.79,7.26,0.117,1.068,0.534,0.324,17.44,0.0439,-
ETR,ENERGY & TRANSPORTATION,2023-09-30,0.676,13.92,17.48,0.112,2.066,2.715,0.116,6.94,0.0468,11.88
MKL,FINANCE,2023-09-30,0.75,9.59,16.78,0.147,1.485,0.888,0.125,139.73,0.0165,-
FE,ENERGY & TRANSPORTATION,2023-09-30,0.468,37.16,16.98,0.0559,2.247,4.242,0.0412,0.95,0.0465,11.42
TRGP,ENERGY & TRANSPORTATION,2023-09-30,2.251,22.19,15.62,0.355,6.91,0.64,0.0833,3.81,0.0237,11.52
DOV,TECHNOLOGY,2023-09-30,1.35,18.08,15.2,0.232,4.828,1.181,0.121,7.28,0.0155,12.3
ES,ENERGY & TRANSPORTATION,2023-09-30,0.561,16.11,19.68,0.0751,1.957,3.029,0.0952,3.34,0.0502,12.62
ALB,LIFE SCIENCES,2023-09-30,1.673,4.145,9.74,0.401,4.313,0.316,0.336,28.22,0.0137,15.91
CPNG,TRADE & SERVICES,2023-09-30,1.373,63.83,123.46,0.168,14.09,None,0.0186,0.24,0,-89.42
ULTA,TRADE & SERVICES,2023-07-31,1.364,15.65,19.05,0.661,12.48,1.847,0.118,24.9,0.0239,14.15
TDY,MANUFACTURING,2023-09-30,1.018,23.2,-,0.0962,2.473,0.98,0.14,16.5,0.0177,17.16
RJF,FINANCE,2023-09-30,1.018,12.61,11.72,0.18,2.613,1.139,0.151,7.97,0.0167,-
VRSN,TECHNOLOGY,2023-09-30,0.935,29.57,26.11,0,-,3.26,0.494,7.01,0.066,22.34
WAB,MANUFACTURING,2023-09-30,1.444,26.79,18.32,0.0756,1.903,3.92,0.0802,4.2,0.006,15.06
FLT,TRADE & SERVICES,2023-09-30,1.201,18.12,10.7,0.36,6.08,1.181,0.257,12.76,0,11.43
NU,FINANCE,2023-06-30,None,852.0,49.51,0.0148,3.766,None,0.0292,0.01,0,-
EXPD,ENERGY & TRANSPORTATION,2023-09-30,1,21.6,17.95,0.27,5.15,1.57,0.0777,5.34,0.012,7.5
LH,LIFE SCIENCES,2023-09-30,1.052,21.09,12.79,0.0957,2.025,2.068,0.0439,9.71,0.0141,8.58
LPLA,FINANCE,2023-09-30,0.911,15.51,12.08,0.571,8.54,0.406,0.12,14.74,0.0053,-
PPL,ENERGY & TRANSPORTATION,2023-09-30,0.844,24.37,18.59,0.0556,1.561,5.47,0.0953,1.04,0.0379,13.73
NET,TECHNOLOGY,2023-09-30,0.971,-,322.58,-0.312,28.95,66.22,-0.167,-0.61,0,-187.02
IRM,REAL ESTATE & CONSTRUCTION,2023-09-30,0.925,63.23,32.26,0.539,29.89,1.08,0.0521,0.94,0.0437,16.1
VTR,REAL ESTATE & CONSTRUCTION,2023-09-30,1.285,2128,25.51,0.0011,1.753,2.285,0.0011,0.02,0.0428,18.96
NVR,REAL ESTATE & CONSTRUCTION,2023-09-30,1.041,12.71,17.99,0.451,4.918,4.886,0.165,474.98,0.0239,6.64
J,REAL ESTATE & CONSTRUCTION,2023-06-30,0.826,23.05,16.53,0.115,2.561,1.34,0.0465,5.81,0.0078,14.51
CNP,ENERGY & TRANSPORTATION,2023-09-30,0.907,21.52,20.45,0.0878,2.084,3.326,0.0931,1.26,0.0295,11.08
MRO,ENERGY & TRANSPORTATION,2023-09-30,2.312,9.12,5.92,0.15,1.559,0.4,0.261,2.75,0.0175,3.967
ARES,FINANCE,2023-09-30,1.292,49.43,17.73,0.214,8.48,0.63,0.119,2.18,0.0286,28.03
FDS,TECHNOLOGY,2023-08-31,0.825,37.59,30.4,0.317,12.86,3.006,0.225,12.05,0.0085,31.19
JBL,MANUFACTURING,2023-08-31,1.407,21.31,8.78,0.308,3.976,0.91,0.0236,6.02,0.0025,5.06
EG,FINANCE,2023-09-30,0.578,7.11,7.12,0.234,1.253,-50,0.156,54.12,0.0182,-
ARE,REAL ESTATE & CONSTRUCTION,2023-09-30,1.011,69.32,17.24,0.0191,1.425,844.2,0.088,1.38,0.0519,20.13
STLD,MANUFACTURING,2023-09-30,1.483,6.95,7.38,0.319,2.393,10.91,0.137,15.69,0.0156,3.286
CBOE,FINANCE,2023-09-30,0.569,26.39,17.27,0.2,4.006,1.75,0.186,6.63,0.0126,23.66
PFG,FINANCE,2023-09-30,1.272,10.9,12.32,0.152,2.281,1.5,0.109,6.38,0.0385,-
NDAQ,FINANCE,2023-09-30,0.947,23.37,22.32,0.178,5.28,2.801,0.184,2.23,0.0169,19.6
HWM,MANUFACTURING,2023-09-30,1.277,32.18,21.69,0.179,4.885,0.803,0.0997,1.54,0.004,19.02
WBA,TRADE & SERVICES,2023-08-31,0.796,-,8.8,-0.12,1.161,12.0,-0.0221,-3.57,0.0925,10.52
CF,LIFE SCIENCES,2023-09-30,0.974,7.46,6.36,0.324,4.106,0.644,0.275,10.66,0.0199,3.102
HOLX,LIFE SCIENCES,2023-09-30,1.029,39.42,21.41,0.0922,3.826,0.933,0.113,1.83,0.0029,9.1
BAH,TRADE & SERVICES,2023-09-30,0.609,56.5,18.25,0.257,11.75,2.29,0.0294,2.23,0.0149,17.65
IFF,LIFE SCIENCES,2023-09-30,1.172,1195.67,18.25,0.0013,1.619,3.459,0.0016,0.06,0.0452,-4247.81
FITB,FINANCE,2023-09-30,1.251,7.14,8.12,0.154,1.544,3.691,0.311,3.51,0.0559,-
BRO,FINANCE,2023-09-30,0.76,27.7,23.36,0.157,3.822,4.41,0.182,2.63,0.0071,18.08
ENPH,MANUFACTURING,2023-09-30,1.578,19.54,69.44,0.704,74.15,2.197,0.211,3.99,0,110.55
GRMN,MANUFACTURING,2023-09-30,0.917,21.52,16.31,0.17,3.123,1.805,0.206,5.42,0.025,13.72
PTC,TECHNOLOGY,2023-09-30,1.107,73.6,27.55,0.0987,6.51,2.124,0.117,2.06,0.0148,28.29
AKAM,TRADE & SERVICES,2023-09-30,0.768,33.47,15.2,0.12,3.3,1.361,0.138,3.31,0.0379,12.65
BAX,LIFE SCIENCES,2023-09-30,0.582,71.35,14.27,0.0342,4.793,1.696,0.17,0.46,0.0353,-68.32
ATO,ENERGY & TRANSPORTATION,2023-09-30,0.65,18.26,19.68,0.0873,1.77,2.678,0.207,6.1,0.0289,16.77
BMRN,LIFE SCIENCES,2023-09-30,0.366,109.06,31.25,0.0311,4.409,0.643,0.0636,0.77,0.0371,90.91
DRI,TRADE & SERVICES,2023-08-31,1.249,18.65,18.59,0.468,8.54,2.236,0.0913,8.05,0.0336,14.61
FSLR,MANUFACTURING,2023-09-30,1.417,30.3,35.34,0.0782,2.761,1.576,0.15,4.42,0,31.58
PINS,TECHNOLOGY,2023-09-30,0.991,-,32.15,-0.0737,4.995,1.371,-0.0743,-0.32,0,109.68
PHM,REAL ESTATE & CONSTRUCTION,2023-09-30,1.438,6.73,6.92,0.305,1.293,2.496,0.163,12.24,0.0078,4.069
COO,LIFE SCIENCES,2023-07-31,0.938,59.54,22.32,0.0377,2.128,2.015,0.0783,5.53,0.0002,25.13
JBHT,ENERGY & TRANSPORTATION,2023-09-30,1.16,23.43,19.34,0.206,5.26,1.863,0.0589,7.42,0.0097,9.86
ZM,TECHNOLOGY,2023-07-31,-0.163,132.04,20.53,0.0218,3.719,10.95,0.0318,0.47,0,23.41
NTAP,TECHNOLOGY,2023-07-31,1.185,13.97,12.08,1.58,11.53,1.062,0.195,5.52,0.0259,9.36
